lastfm_url,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,genre
https://www.last.fm/music/modest%2bpetrovich%2bmussorgsky/_/la%2bcabane%2bsur%2bdes%2bpatters%2bde%2bpuole,Modest Petrovich Mussorgsky,['menacing'],3,5.62,5.11,4.9,classical
https://www.last.fm/music/modest%2bpetrovich%2bmussorgsky/_/night%2bon%2bbald%2bmountain%2b%2528noch%2527%2bna%2bl%25c3%25afsoy%2bgore%2529%252c%2bsymphonic%2bpoem%252c%2bedited%2bby%2bstokowski,Modest Petrovich Mussorgsky,"['ominous', 'scary']",2,3.475,5.46,4.09,classical
https://www.last.fm/music/modest%2bpetrovich%2bmussorgsky/_/night%2bon%2bbald%2bmountain,Modest Petrovich Mussorgsky,['halloween'],2,1.905090909,3.455090909,1.967090909,classical
https://www.last.fm/music/modest%2bpetrovich%2bmussorgsky/_/a%2bnight%2bon%2bbald%2bmountain,Modest Petrovich Mussorgsky,['scary'],4,3.3125,4.0075,3.27,classical
https://www.last.fm/music/modest%2bpetrovich%2bmussorgsky/_/promenade,Modest Petrovich Mussorgsky,['romantic'],2,7.30375,4.88625,6.3375,classical
https://www.last.fm/music/richard%2bwagner/_/ride%2bof%2bvalkyries,Richard Wagner,['apocalyptic'],2,3.805,2.56,3.225,classical
https://www.last.fm/music/richard%2bwagner/_/requiem,Richard Wagner,['scary'],1,3,5.35,3.7,classical
https://www.last.fm/music/richard%2bwagner/_/the%2bride%2bof%2bthe%2bvalkyries,Richard Wagner,['romantic'],3,7.577368421,5.184210526,6.371052632,classical
https://www.last.fm/music/richard%2bwagner/_/wesendonk%2blieder%253a%2bschmerzen,Richard Wagner,['romantic'],3,7.439166667,5.2625,6.265833333,classical
https://www.last.fm/music/richard%2bwagner/_/the%2bmastersingers%2bof%2bnuremberg%252c%2boverture,Richard Wagner,['narrative'],1,6.32,3.23,5.61,classical
https://www.last.fm/music/richard%2bwagner/_/imperial%2bmarch%2b%2528kaisermarsch%2529,Richard Wagner,['lively'],1,7.12,6.1,6.86,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/swan%2blake%253a%2bdance%2bof%2bthe%2bswans,Pyotr Ilyich Tchaikovsky,['soothing'],2,7.76,3.98,6.485,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/piano%2bconcerto%2bno.1%2bin%2bb%2bflat%2bminor%2bop.23%2bi.%2ballegro%2bnon%2btroppo%2be%2bmolto%2bmaestoso%2b%2528opening%2529,Pyotr Ilyich Tchaikovsky,['dramatic'],2,6.796666667,5.61,5.89,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/piano%2bconcerto%2bno.%2b1,Pyotr Ilyich Tchaikovsky,['euphoric'],1,7.8,5.25,6.77,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/%25221812%2522%2boverture,Pyotr Ilyich Tchaikovsky,"['euphoric', 'passionate']",3,6.873333333,6.06,6.32,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/symphony%2bno.%2b5%2bin%2be%2bminor%252c%2bop.64%253a%2bi.%2bandante%2b-%2ballegro%2bcon%2banima,Pyotr Ilyich Tchaikovsky,['passionate'],2,7.39,5.725,6.535,classical
https://www.last.fm/music/pyotr%2bilyich%2btchaikovsky/_/waltz%2bof%2bthe%2bflowers,Pyotr Ilyich Tchaikovsky,['romantic'],3,7.537619048,5.053809524,6.513809524,classical
